Date,Open,High,Low,Close,Adj Close,Volume
24-03-20,14,14.235,13.555,14.235,14.014748,5203337
25-03-20,14.4,14.475,13.69,13.975,13.758771,4125019
26-03-20,13.785,14.755,13.685,14.755,14.526702,4919025
27-03-20,14.5,14.7,14.125,14.245,14.024592,2868398
30-03-20,14.2,14.49,13.87,14.21,13.990134,2179619
31-03-20,14.36,14.6,14.235,14.415,14.191962,3046958
01-04-20,14.1,14.445,13.98,14.24,14.01967,2424889
02-04-20,14.195,14.58,13.845,14.225,14.004903,3183247
03-04-20,14.355,15.09,14.25,15.09,14.856519,4144069
06-04-20,15.3,15.495,15,15.175,14.940204,3329252
07-04-20,15.445,15.48,14.515,14.655,14.428249,3607984
08-04-20,14.7,14.845,14.325,14.69,14.462708,2291705
09-04-20,14.795,14.805,14.135,14.22,13.99998,3698423
14-04-20,14.48,14.645,14.315,14.5,14.275647,2231708
15-04-20,14.5,14.585,14.05,14.1,13.881837,2323922
16-04-20,14.24,14.26,13.81,13.915,13.699698,2717622
17-04-20,14.05,14.05,13.78,13.995,13.778461,2465160
20-04-20,14.015,14.115,13.89,14.115,13.896605,1661939
21-04-20,13.925,13.965,13.62,13.62,13.409264,2502044
22-04-20,13.605,14.01,13.315,13.79,13.576632,2758418
23-04-20,13.74,13.79,13.37,13.385,13.177899,4041962
24-04-20,13.37,13.52,13.25,13.32,13.113905,1899338
27-04-20,13.45,13.555,13.07,13.265,13.059756,3103250
28-04-20,13.2,13.535,13.18,13.395,13.187745,2484106
29-04-20,13.9,14.095,13.66,13.895,13.680009,4107652
30-04-20,13.79,13.935,13.35,13.495,13.286198,3030501
04-05-20,13.43,13.475,13.135,13.135,12.931767,3377622
05-05-20,13.29,13.41,13.225,13.285,13.079447,2562605
06-05-20,13.28,13.28,12.92,12.92,12.720094,2821968
07-05-20,12.96,13.44,12.96,13.315,13.108982,2762128
08-05-20,13.325,13.34,13.205,13.295,13.089292,1222573
11-05-20,13.4,13.48,13.24,13.26,13.054833,1663518
12-05-20,13.21,13.385,13.115,13.2,12.995762,1761102
13-05-20,13.1,13.24,12.83,12.885,12.685636,2231108
14-05-20,12.8,12.88,12.635,12.8,12.601951,2147543
15-05-20,12.9,13.03,12.76,12.76,12.56257,1687001
18-05-20,12.865,12.945,12.665,12.77,12.572415,3270068
19-05-20,12.905,13.055,12.445,12.465,12.272135,4341652
20-05-20,12.4,12.515,12.095,12.51,12.316438,4515065
21-05-20,12.43,12.845,12.33,12.81,12.611796,4434978
22-05-20,12.685,13.255,12.63,13.205,13.000685,5184387
25-05-20,13.285,13.34,13.1,13.175,12.971148,1656894
26-05-20,13.23,13.295,12.89,12.99,12.789011,4965099
27-05-20,12.995,13.435,12.835,13.425,13.21728,5784188
28-05-20,13.48,13.645,13.32,13.35,13.143441,3391298
29-05-20,13.3,13.8,13.3,13.655,13.443722,7503939
01-06-20,13.745,13.945,13.675,13.92,13.704621,2837151
02-06-20,14,14.015,13.8,13.915,13.699698,2846891
03-06-20,14,14.625,13.945,14.49,14.265802,5357589
04-06-20,14.4,14.53,14.225,14.53,14.305183,3499079
05-06-20,14.635,14.955,14.55,14.865,14.634999,5125573
08-06-20,14.55,14.635,14.32,14.59,14.59,4199899
09-06-20,14.595,14.605,14.21,14.455,14.455,3059131
10-06-20,14.535,14.69,14.38,14.455,14.455,3059530
11-06-20,14.3,14.3,13.915,13.97,13.97,3619555
12-06-20,13.9,14.275,13.8,14.04,14.04,2830337
15-06-20,13.8,14.12,13.685,13.88,13.88,2757514
16-06-20,14.245,14.375,14.07,14.2,14.2,3533101
17-06-20,14.155,14.415,14.14,14.275,14.275,2272484
18-06-20,14.26,14.315,13.865,13.93,13.93,2716020
19-06-20,14,14.105,13.94,14.105,14.105,6461649
22-06-20,14.4,14.8,14.2,14.525,14.525,3995937
23-06-20,14.59,14.85,14.5,14.82,14.82,3361370
24-06-20,14.745,14.75,14.31,14.31,14.31,2479980
25-06-20,14.285,14.355,14.03,14.275,14.275,2391447
26-06-20,14.395,14.405,13.945,13.945,13.945,2295238
29-06-20,13.945,13.975,13.69,13.895,13.895,4384996
30-06-20,13.885,13.97,13.755,13.755,13.755,3095391
01-07-20,13.77,13.81,13.45,13.48,13.48,2735275
02-07-20,13.57,13.965,13.52,13.855,13.855,3249220
03-07-20,13.855,13.905,13.56,13.56,13.56,1784797
06-07-20,13.775,13.915,13.55,13.58,13.58,2408230
07-07-20,13.52,13.715,13.48,13.665,13.665,2557484
08-07-20,13.7,13.73,13.54,13.54,13.54,2847516
09-07-20,13.57,13.585,13.24,13.24,13.24,3428181
10-07-20,13.23,13.47,13.16,13.47,13.47,2692762
13-07-20,13.6,13.765,13.535,13.66,13.66,1626136
14-07-20,13.595,14.155,13.565,14.065,14.065,3375200
15-07-20,14.1,14.15,13.865,13.96,13.96,2526567
16-07-20,13.89,14.07,13.85,14.015,14.015,1659111
17-07-20,14.015,14.025,13.805,13.81,13.81,1887099
20-07-20,null,null,null,null,null,null
21-07-20,13.87,13.985,13.765,13.78,13.78,2613690
22-07-20,13.75,13.805,13.61,13.675,13.675,1863769
23-07-20,13.745,13.75,13.435,13.465,13.465,1919641
24-07-20,13.4,13.565,13.305,13.55,13.55,2974466
27-07-20,13.53,13.565,13.09,13.12,13.12,2995911
28-07-20,13.46,13.795,13.44,13.62,13.62,3869943
29-07-20,13.89,13.94,13.595,13.74,13.74,3247737
30-07-20,13.81,13.83,13.24,13.295,13.295,4022155
31-07-20,13.315,13.72,13.3,13.5,13.5,3369223
03-08-20,13.52,13.55,13.35,13.45,13.45,1989838
04-08-20,13.565,13.64,13.445,13.555,13.555,2013870
05-08-20,13.6,13.79,13.59,13.68,13.68,1853343
06-08-20,13.645,13.755,13.485,13.54,13.54,1759602
07-08-20,13.5,13.555,13.36,13.39,13.39,1803253
10-08-20,13.435,13.56,13.36,13.395,13.395,1458534
11-08-20,13.5,13.82,13.42,13.625,13.625,2278387
12-08-20,13.63,14.065,13.615,14.025,14.025,2417354
13-08-20,13.995,14.1,13.855,13.855,13.855,1462400
14-08-20,13.85,13.895,13.58,13.75,13.75,1810827
17-08-20,13.73,13.82,13.62,13.68,13.68,1257885
18-08-20,13.6,13.725,13.48,13.495,13.495,1892905
19-08-20,13.51,13.63,13.365,13.475,13.475,1630431
20-08-20,13.39,13.41,13.08,13.16,13.16,2646579
21-08-20,13.21,13.33,13.145,13.225,13.225,1698303
24-08-20,13.32,13.46,13.31,13.425,13.425,2416991
25-08-20,13.405,13.565,13.38,13.43,13.43,1664598
26-08-20,13.445,13.535,13.38,13.475,13.475,1550767
27-08-20,13.53,13.595,13.38,13.445,13.445,1503761
28-08-20,13.505,13.55,13.345,13.445,13.445,1989486
31-08-20,13.5,13.69,13.46,13.46,13.46,2405025
01-09-20,13.53,13.635,13.4,13.435,13.435,2201638
02-09-20,13.47,13.825,13.445,13.55,13.55,2464458
03-09-20,13.645,14.07,13.645,13.9,13.9,4044582
04-09-20,13.8,14.5,13.7,14.315,14.315,5119562
07-09-20,14.32,14.385,14.035,14.28,14.28,2064653
08-09-20,14.305,14.45,14.27,14.37,14.37,3467841
09-09-20,14.355,14.835,14.33,14.76,14.76,3535768
10-09-20,14.755,14.825,14.655,14.74,14.74,2392100
11-09-20,14.77,14.81,14.59,14.605,14.605,2032995
14-09-20,14.69,14.79,14.53,14.53,14.53,1441646
15-09-20,14,14.305,13.935,14.065,14.065,6050943
16-09-20,14.055,14.135,13.925,14.11,14.11,3030121
17-09-20,13.985,14.045,13.81,13.83,13.83,3745371
18-09-20,null,null,null,null,null,null
21-09-20,13.4,13.4,13.1,13.34,13.34,3723636
22-09-20,13.385,13.755,13.35,13.64,13.64,2519056
23-09-20,13.735,13.895,13.675,13.745,13.745,2588082
24-09-20,13.73,13.94,13.42,13.76,13.76,2384819
25-09-20,13.805,13.89,13.67,13.695,13.695,2842113
28-09-20,13.81,14.07,13.81,13.975,13.975,2514234
29-09-20,13.915,14.01,13.71,13.715,13.715,2398877
30-09-20,13.65,13.875,13.6,13.665,13.665,2009557
